open,high,low,close,volume,trade_count,vwap,sma5,sma50,sma100,ema20,rsi14,macd,upperBB,lowerBB,ATR14,momentum,deviation,zscore,target
237.0,238.19,235.03,236.7,42699524.0,575938.0,236.366102,232.388,221.58880000000002,212.65380000000002,231.27250145555743,61.577669902912604,-0.6877438387293413,241.19727961456556,222.72872038543437,4.6325214285714225,23.20999999999998,15.111199999999968,1.0259598361150275,1
237.175,241.22,236.3235,238.15,63421099.0,679032.0,238.882029,233.148,222.15279999999998,212.98930000000001,231.92750131693293,60.913580246913575,-0.45216683365740273,241.9454307742732,222.70656922572684,4.639414285714279,24.150000000000006,15.99720000000002,1.2108824600258188,1
238.97,240.1,237.7301,238.99,46508017.0,509297.0,239.223445,235.58800000000002,222.73239999999998,213.2955,232.60012023912978,60.58266932270916,-0.2657393583298715,242.7713743953981,222.7236256046019,4.620121428571421,26.30000000000001,16.257600000000025,1.245526381069958,0
239.97,241.2,236.65,237.88,44249576.0,517293.0,238.045428,237.158,223.2672,213.58149999999998,233.10296593064123,56.78571428571426,-0.2437294630682274,243.08697979195745,223.5950202080425,4.654049999999992,22.639999999999986,14.612799999999993,0.9314609914840299,1
241.225,246.3,240.2106,245.5,163741314.0,908635.0,244.355209,239.44400000000002,223.929,213.93509999999998,234.28363584200872,64.39655172413794,0.2317565971026454,244.69773974128285,224.04426025871717,5.111907142857136,31.400000000000006,21.570999999999998,2.1553753224766568,1
248.3,256.64,248.12,256.08,105517416.0,1183543.0,253.949432,243.32,224.8274,214.3838,236.3594800475317,74.15689149560114,1.154919031903705,249.50615004272183,222.06784995727813,5.538335714285708,37.809999999999974,31.252599999999973,2.958346535580845,0
255.875,257.34,253.58,254.43,60275187.0,673983.0,255.189809,246.57599999999996,225.74360000000001,214.8031,238.08048194776677,66.8141592920354,1.5271603225247095,252.5741680393949,221.72683196060515,5.154764285714277,33.70000000000002,28.686399999999992,2.240647290367631,0
255.22,255.74,251.04,252.31,42303710.0,491242.0,252.271211,249.23999999999995,226.6076,215.19300000000004,239.43567414321757,62.97907603066086,1.501106400253776,254.66388849865368,221.93711150134632,5.2647714285714216,28.560000000000002,25.70240000000001,1.7122981589238262,1
253.205,257.17,251.712,256.87,55202075.0,625867.0,254.78271,253.038,227.5418,215.7082,241.0960861295778,66.28744785741372,1.649655213633424,257.5132771894376,221.7257228105623,5.452492857142853,35.34,29.32820000000001,1.9281004583182901,0
254.095,257.6,253.78,255.46,46076258.0,550704.0,255.515387,255.03000000000003,228.4506,216.2739,242.46407792676087,66.79403897592664,1.5151031139248525,259.65896532717915,221.87003467282085,5.45320714285714,31.610000000000014,27.0094,1.5555348876542119,0
